test_id,block_count,is_feasible,infeasible_penalty_applied,final_cost,p1_quality,p2_violation_exp,p3_runtime_adjustment,pre_penalty_cost,hpwl_b2b,hpwl_p2b,hpwl_total,hpwl_baseline,hpwl_gap,bbox_area,bbox_area_baseline,area_gap,overlap_violations,area_violations,fixed_violations,preplaced_violations,boundary_violations,grouping_violations,mib_violations,total_soft_violations,max_possible_violations,violations_relative,runtime_seconds,median_runtime,runtime_factor
0,21,True,False,0.7,1.0,1.0,0.7,0.7,3.2578977398516145,0.966111442190595,4.224009182042209,4.224009275436401,-2.211031885719746e-08,6955.0,6955.0,0.0,0,0,0,0,0,0,0,0,26,0.0,0.03920102119445801,0.390120267868042,0.10048445165047855
1,22,True,False,0.7,1.0,1.0,0.7,0.7,2.219988502562046,1.9830557396926451,4.203044242254691,4.203044295310974,-1.2623298541444476e-08,9639.0,9639.0,0.0,0,0,0,0,0,0,0,0,29,0.0,0.039087533950805664,0.390120267868042,0.10019354842652524
2,23,True,False,0.7,1.0,1.0,0.7,0.7,4.949167136044707,2.3704767668969,7.319643902941607,7.319643974304199,-9.749462204778166e-09,9078.0,9078.0,0.0,0,0,0,0,0,0,0,0,29,0.0,0.04894113540649414,0.390120267868042,0.12545140418863973
3,24,True,False,0.7000000085162846,1.000000012166121,1.0,0.7,0.7000000085162846,2.6950028596329503,0.011774842190789059,2.7067777018237393,2.706777635961771,2.433224194280234e-08,8378.0,8378.0,0.0,0,0,0,0,0,0,0,0,28,0.0,0.033660173416137695,0.390120267868042,0.08628152953981677
4,25,True,False,0.7,1.0,1.0,0.7,0.7,9.029580665868707,1.2504308024072088,10.280011468275916,10.280011892318726,-4.1249252840987165e-08,7303.0,7303.0,0.0,0,0,0,0,0,0,0,0,32,0.0,0.06011319160461426,0.390120267868042,0.15408887093491774
5,26,True,False,0.7,1.0,1.0,0.7,0.7,5.5605973227648064,2.57897763105575,8.139574953820556,8.139575004577637,-6.235839130175491e-09,8100.0,8100.0,0.0,0,0,0,0,0,0,0,0,27,0.0,0.060808658599853516,0.390120267868042,0.15587156989347198
6,27,True,False,0.7000000107836504,1.0000000154052149,1.0,0.7,0.7000000107836504,9.512923549045809,0.2817346387600992,9.794658187805908,9.79465788602829,3.081042967680843e-08,6675.0,6675.0,0.0,0,0,0,0,0,0,0,0,31,0.0,0.05542778968811035,0.390120267868042,0.14207872354598808
7,28,True,False,0.7000000172950431,1.0000000247072045,1.0,0.7,0.7000000172950431,33.4491669969575,0.016369902557926252,33.46553689951543,33.46553524583578,4.941440901523849e-08,10400.0,10400.0,0.0,0,0,0,0,0,0,0,0,36,0.0,0.06771135330200195,0.390120267868042,0.1735653306915735
8,29,True,False,0.7000000103117813,1.000000014731116,1.0,0.7,0.7000000103117813,13.486789164599031,0.43279724832973443,13.919586412928766,13.91958600282669,2.9462232201629705e-08,8736.0,8736.0,0.0,0,0,0,0,0,0,0,0,33,0.0,0.0742177963256836,0.390120267868042,0.19024337477074565
9,30,True,False,0.7000000010391416,1.000000001484488,1.0,0.7,0.7000000010391416,17.388856948469765,0.4715680701774545,17.86042501864722,17.86042496562004,2.968976337026812e-09,9880.0,9880.0,0.0,0,0,0,0,0,0,0,0,32,0.0,0.08570051193237305,0.390120267868042,0.2196771585355345
